Ruta,Texto original,Traducción
Armor[1].name,Кожаный доспех,
Armor[1].description,"Кожаный доспех с незамысловатым дизайном.
Сделан из клепаной кожи. Немного защищает от огня.",
Armor[2].name,Набедренная повязка,
Armor[2].description,"Набедренная повязка истязателя с ремешками.
Обнажает тело и мускулы.",
Armor[3].name,Мантия жреца,
Armor[3].description,"Темная мантия подобная тем, что носят темные жрецы.
Скромного фасона, ничего лишнего. Немного согревает.",
Armor[4].name,Броня из твердой кожи,
Armor[4].description,"Броня сделанная из специально вываренной кожи.
Отлично защищает от огня.",
Armor[5].name,Кожа гуля,
Armor[5].description,"Бледная кожа гуля. Может быть использована для того,
чтобы спрятать свой запах от гулей и им подобных.",
Armor[6].name,Кожа стража,
Armor[6].description,"Кожа стража. Может быть использована для того, чтобы
спрятать свой запах от других стражей.",
Armor[7].name,Капюшон,
Armor[7].description,"Капюшон, сшитый вместе из разных кусочков ткани.",
Armor[8].name,Кожаный шлем,
Armor[8].description,"Шлем из кожи. Плохо сидит на голове, 
слишком великоват.",
Armor[9].name,Плащ,
Armor[9].description,Простая накидка обеспечивающая теплом.,
Armor[10].name,Талисман затмения,
Armor[10].description,"Талисман, сделанный в восточном стиле с символом
солнечного затмения.",
Armor[11].name,Каменная корона,
Armor[11].description,"Грубо сделанная корона из камня. Судя по стилю,
была сделана представителями примитивной культуры.",
Armor[12].name,Броня из шкур,
Armor[12].description,"Броня из волчьих шкур. Обеспечивает носителю
тепло, однако но уязвима к огню.",
Armor[13].name,Мантия высшего жреца,
Armor[13].description,"Темная мантия подобная тем, что носят высшие
жрецы тьмы. Имеет минималистичный дизайн.",
Armor[14].name,Латные доспехи,
Armor[14].description,"Латные доспехи обеспечивающий отличную защиту, 
в обмен на небольшую неуклюжесть носителя.",
Armor[15].name,Черное одеяние,
Armor[15].description,Вполне обычная одежда черного цвета.,
Armor[16].name,Деревянный баклер,
Armor[16].description,"Простой щит сделанный из подручных средств. 
Все же лучше чем ничего.",
Armor[17].name,Щит паука,
Armor[17].description,"Железный щит с эмблемой черного паука. Лёгок,
обеспечит хорошую защиту своему владельцу.",
Armor[18].name,Щит с орлом,
Armor[18].description,"Один из щитов, которыми пользуются рыцари Полночного
Солнца. Внешнюю часть украшает герб с орлом и мечом.",
Armor[19].name,Странная кукла,
Armor[19].description,"Кукла найденная в одной из тюремных камер. Изображает
высокого брюнета. От взгляда на нее бегут мурашки.",
Armor[20].name,Бдительное око,
Armor[20].description,"Талисман в форме широко открытого глаза. Кажется, 
под его надзором, чувства страха и ужаса отступают...",
Armor[21].name,Латные наручи,
Armor[21].description,"Пара латных наручей, предотвращающих серьезные увечья.",
Armor[22].name,Латные наголенники,
Armor[22].description,"Пара латных наголенников, предотвращающая серьезные увечья.",
Armor[23].name,Кольчужный капюшон,
Armor[23].description,"Кольчужный капюшон. Отличная защита, правда,
немного неудобен.",
Armor[24].name,Шлем,
Armor[24].description,"Тяжелый шлем, не только обеспечивает отличную защиту, 
но и обезопасит от замешательства и оглушения.",
Armor[25].name,Кираса,
Armor[25].description,"Железная кираса обеспечивающая умеренную защиту от 
увечий. Без наплечников в ней намного легче двигаться.",
Armor[26].name,Лапа пещерного волка,
Armor[26].description,"Отрезанная лапа пещерного волка. Говорят, приносит
удачу, наверняка, это всего лишь глупое суеверие.",
Armor[27].name,Колдовской камень,
Armor[27].description,"Магическое кольцо, которое когда-то носил великий 
Бетель. Восстанавливает разум во время стычек.",
Armor[28].name,Кольцо стылой крови,
Armor[28].description,"Проклятое кольцо. Оно заставляет кровь стынуть в жилах, 
предотвращая кровотечение. Без магии тут не обошлось. ",
Armor[29].name,Кольцо духов,
Armor[29].description,"Кольцо с кровавым алмазом. Оно повидало много смертей,
и теперь, жизненная сила буквально струится из камня.",
Armor[30].name,Кольцо с шипами,
Armor[30].description,"Проклятое кольцо с шипами выделяет малый, постоянный
поток яда. Делает носителя устойчивым к высоким дозам.",
Armor[31].name,Железная маска,
Armor[31].description,"Железный шлем, полностью защищающий лицо,
в том числе и глаза.",
Armor[32].name,Свинья из шишек,
Armor[32].description,"Талисман приносящий удачу. То, что ты можешь сделать 
нечто подобное, уже несет в себе некий символизм.",
Armor[33].name,Мрачный доспех,
Armor[33].description,"Кованный доспех, обеспечивающий отличную защиту.
На нём присутствует фамильная эмблема с птицей.",
Armor[34].name,Мрачный бацинет,
Armor[34].description,"Стальной шлем защищающий лицо. Обеспечивает защиту 
горла, шеи и других частей головы.",
Armor[35].name,,
Armor[35].description,,
Armor[36].name,Душа Ворона-истязателя,
Armor[36].description,"Концентрированная ярость Ворона-истязателя. 
Увеличивает силу того, кто им владеет.",
Armor[37].name,Душа Железного Шекспира,
Armor[37].description,"Душа Железного Шекспира. Повышает защиту своего
владельца.",
Armor[38].name,Душа Морского дракона,
Armor[38].description,"Душа Морского дракона, делает кожу своего владельца 
толще. Предотвращает потерю конечностей и кровотечения.",
Armor[39].name,Душа Белого ангела,
Armor[39].description,"Душа Белого ангела дарует своему обладателю быстроту
движений и дополнительное действие.",
Armor[40].name,Душа Зловещей ведьмы,
Armor[40].description,"Душа Зловещей ведьмы дарует обладателю темные силы,
с помощью которых можно отравить противника.",
