Ruta,Texto original,Traducción
CommonEvent[1].command[0],____TEXT____,
CommonEvent[1].command[1].textData,Ты зажигаешь факел.,
CommonEvent[2].command[9],____TEXT____,
CommonEvent[2].command[10].textData,Ты зажигаешь факел,
CommonEvent[2].command[14],____TEXT____,
CommonEvent[2].command[15].textData,Ты тушишь пламя,
CommonEvent[3].command[0],____TEXT____,
CommonEvent[3].command[1].textData,"Ты колеблешься, перед тем как вытащить книгу",
CommonEvent[3].command[2].textData,из своей сумки...,
CommonEvent[3].command[3],____TEXT____,
CommonEvent[3].command[4].textData,"Тебя одолевает неуемное желание открыть книгу, но в то ",
CommonEvent[3].command[5].textData,"же время, ты чувствуешь, что последствия могут быть ",
CommonEvent[3].command[6].textData,ужасны.,
CommonEvent[3].command[7],___CHOICE___,
CommonEvent[3].command[7].textChoice[0],Прочесть книгу,
CommonEvent[3].command[7].textChoice[1],Оставить книгу,
CommonEvent[3].command[13],____TEXT____,
CommonEvent[3].command[14].textData,"Оказывается это та самая книга, о которой ходит столь ",
CommonEvent[3].command[15].textData,много легенд...,
CommonEvent[3].command[16],____TEXT____,
CommonEvent[3].command[17].textData,"У нее много имен: Обряды безумия, Аль Азиф, ",
CommonEvent[3].command[18].textData,"Завет Гро-Горота, Экс Мортис и...",
CommonEvent[3].command[19],____TEXT____,
CommonEvent[3].command[20].textData,Некрономикон.,
CommonEvent[3].command[23],___CHOICE___,
CommonEvent[3].command[23].textChoice[0],ОРЕЛ,
CommonEvent[3].command[23].textChoice[1],РЕШКА,
CommonEvent[3].command[30],____TEXT____,
CommonEvent[3].command[31].textData,Книга взывает к силам за гранью твоего понимания...,
CommonEvent[3].command[32],____TEXT____,
CommonEvent[3].command[33].textData,Пред этой древней силой ты не более чем жалкая букашка.,
CommonEvent[3].command[39],____TEXT____,
CommonEvent[3].command[40].textData,Книга взывает к силам за гранью твоего понимания...,
CommonEvent[3].command[41],____TEXT____,
CommonEvent[3].command[42].textData,Пред этой древней силой ты не более чем жалкая букашка.,
CommonEvent[3].command[43],____TEXT____,
CommonEvent[3].command[44].textData,Страх берет над тобой верх.,
CommonEvent[3].command[48],____TEXT____,
CommonEvent[3].command[49].textData,Ты теряешь рассудок.,
CommonEvent[3].command[60],____TEXT____,
CommonEvent[3].command[61].textData,Книга взывает к силам за гранью твоего понимания.,
CommonEvent[3].command[62],____TEXT____,
CommonEvent[3].command[63].textData,Пред этой древней силой ты не более чем жалкая букашка.,
CommonEvent[3].command[69],____TEXT____,
CommonEvent[3].command[70].textData,Книга взывает к силам за гранью твоего понимания.,
CommonEvent[3].command[71],____TEXT____,
CommonEvent[3].command[72].textData,Пред этой древней силой ты не более чем жалкая букашка.,
CommonEvent[3].command[73],____TEXT____,
CommonEvent[3].command[74].textData,Страх берет над тобой верх.,
CommonEvent[3].command[78],____TEXT____,
CommonEvent[3].command[79].textData,Ты теряешь рассудок.,
CommonEvent[3].command[91],____TEXT____,
CommonEvent[3].command[92].textData,"После прочтения, книга стремительно рассыпается",
CommonEvent[3].command[93].textData,в пыль прямо на твоих глазах.,
CommonEvent[5].command[5],____TEXT____,
CommonEvent[5].command[6].textData,"Открыв книгу, тебя пробирает греющая душу ",
CommonEvent[5].command[7].textData,"ностальгия, которую невозможно объяснить.",
CommonEvent[5].command[8],____TEXT____,
CommonEvent[5].command[9].textData,Воспоминания о прошлой жизни проносятся перед,
CommonEvent[5].command[10].textData,твоими глазами. Но некоторые из них тебе не знакомы.,
CommonEvent[5].command[11],____TEXT____,
CommonEvent[5].command[12].textData,"Ты вспоминаешь своих предков, ведущих простую, ",
CommonEvent[5].command[13].textData,но опасную жизнь наемников.,
CommonEvent[5].command[14],____TEXT____,
CommonEvent[5].command[15].textData,Ты вспоминаешь... Как сокровища и богатства сильных ,
CommonEvent[5].command[16].textData,"мира сего притягивали тебя, пока ты, цепляясь за ",
CommonEvent[5].command[17].textData,"отголоски свободы, путешествовал по известным ",
CommonEvent[5].command[18].textData,континентам.,
CommonEvent[5].command[19],____TEXT____,
CommonEvent[5].command[20].textData,Ты вспоминаешь... Как хладнокровно убивал своих жертв.,
CommonEvent[5].command[21].textData,"Как разбойничая на дорогах севера, повстречал божество ",
CommonEvent[5].command[22].textData,в обличье волка.,
CommonEvent[5].command[23],____TEXT____,
CommonEvent[5].command[24].textData,"Ты вспоминаешь... Как за жизни тех, кого ты любил",
CommonEvent[5].command[25].textData,"тебе предложили великое знание. И ты, сжираемый своей ",
CommonEvent[5].command[26].textData,"жадностью, не раздумывая согласился.",
CommonEvent[5].command[27],____TEXT____,
CommonEvent[5].command[28].textData,Ты вспоминаешь... Как божество в обличье волка поведало,
CommonEvent[5].command[29].textData,свой великий секрет...,
CommonEvent[5].command[34],____TEXT____,
CommonEvent[5].command[35].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[38],____TEXT____,
CommonEvent[5].command[39].textData,Ты вспоминаешь \c[2]Рывок\c[0]!,
CommonEvent[5].command[46],____TEXT____,
CommonEvent[5].command[47].textData,Ты вспоминаешь \c[2]Украсть\c[0]!,
CommonEvent[5].command[57],____TEXT____,
CommonEvent[5].command[58].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[61],____TEXT____,
CommonEvent[5].command[62].textData,Ты вспоминаешь \c[2]Украсть\c[0]!,
CommonEvent[5].command[69],____TEXT____,
CommonEvent[5].command[70].textData,Ты вспоминаешь \c[2]Рывок\c[0]!,
CommonEvent[5].command[80],____TEXT____,
CommonEvent[5].command[81].textData,"После прочтения, книга стремительно рассыпается",
CommonEvent[5].command[82].textData,в пыль прямо на твоих глазах.,
CommonEvent[5].command[89],____TEXT____,
CommonEvent[5].command[90].textData,"Открыв книгу, тебя пробирает греющая душу ",
CommonEvent[5].command[91].textData,"ностальгия, которую невозможно объяснить.",
CommonEvent[5].command[92],____TEXT____,
CommonEvent[5].command[93].textData,Воспоминания о прошлой жизни проносятся перед,
CommonEvent[5].command[94].textData,твоими глазами. Но некоторые из них тебе не знакомы.,
CommonEvent[5].command[95],____TEXT____,
CommonEvent[5].command[96].textData,"Ты вспоминаешь... Своих предков, благородных рыцарей",
CommonEvent[5].command[97].textData,королевства Рондон.,
CommonEvent[5].command[98],____TEXT____,
CommonEvent[5].command[99].textData,"Ты вспоминаешь... Как с ранних лет, каждый из твоих ",
CommonEvent[5].command[100].textData,"предков проходил через изнурительные тренировки, дабы ",
CommonEvent[5].command[101].textData,стать святым рыцарем Алл-Мера.,
CommonEvent[5].command[102],____TEXT____,
CommonEvent[5].command[103].textData,"Ты вспоминаешь... Как жрецы, что воспитывали тебя, ",
CommonEvent[5].command[104].textData,"не гнушались жестоких и суровых наказаний, внушая тебе",
CommonEvent[5].command[105].textData,уставы и моральный кодекс рыцарства.,
CommonEvent[5].command[106],____TEXT____,
CommonEvent[5].command[107].textData,Ты вспоминаешь... Как не было видно ни конца ни края,
CommonEvent[5].command[108].textData,этой жестокости. Как каждый день ты боролась на арене,
CommonEvent[5].command[109].textData,с диковинными монстрами из дальних стран.,
CommonEvent[5].command[110],____TEXT____,
CommonEvent[5].command[111].textData,"А ночью, с тварями, что населяли монастырь. Ибо монахи, ",
CommonEvent[5].command[112].textData,подбирались к тебе даже в самые поздние ночные часы.,
CommonEvent[5].command[113],____TEXT____,
CommonEvent[5].command[114].textData,"Ты вспоминаешь... Как медленно тонула во тьме, что была",
CommonEvent[5].command[115].textData,"внутри тебя, и как ты услышала голос...",
CommonEvent[5].command[116],____TEXT____,
CommonEvent[5].command[117].textData,"Ты вспоминаешь, как голос научил тебя навыкам. ",
CommonEvent[5].command[118].textData,"Навыкам, что однажды помогут тебе отомстить всем,",
CommonEvent[5].command[119].textData,кто причинил тебе зло в отрочестве.,
CommonEvent[5].command[124],____TEXT____,
CommonEvent[5].command[125].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[128],____TEXT____,
CommonEvent[5].command[129].textData,Ты вспоминаешь \c[2]Контрудар\c[0]!,
CommonEvent[5].command[136],____TEXT____,
CommonEvent[5].command[137].textData,Ты вспоминаешь \c[2]Подвижная стойка\c[0]!,
CommonEvent[5].command[147],____TEXT____,
CommonEvent[5].command[148].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[151],____TEXT____,
CommonEvent[5].command[152].textData,Ты вспоминаешь \c[2]Быстрая атака\c[0]!,
CommonEvent[5].command[159],____TEXT____,
CommonEvent[5].command[160].textData,Ты вспоминаешь \c[2]Контрудар\c[0]!,
CommonEvent[5].command[170],____TEXT____,
CommonEvent[5].command[171].textData,"После прочтения, книга стремительно рассыпается",
CommonEvent[5].command[172].textData,в пыль прямо на твоих глазах.,
CommonEvent[5].command[179],____TEXT____,
CommonEvent[5].command[180].textData,"Открыв книгу, тебя пробирает греющая душу ",
CommonEvent[5].command[181].textData,"ностальгия, которую невозможно объяснить.",
CommonEvent[5].command[182],____TEXT____,
CommonEvent[5].command[183].textData,Воспоминания о прошлой жизни проносятся перед,
CommonEvent[5].command[184].textData,твоими глазами. Но некоторые из них тебе не знакомы.,
CommonEvent[5].command[185],____TEXT____,
CommonEvent[5].command[186].textData,Ты вспоминаешь мерзкие ритуалы в которых участвовали ,
CommonEvent[5].command[187].textData,"твои предки. Древнюю, черную магию, которой недоставало",
CommonEvent[5].command[188].textData,искусности современного колдовства.,
CommonEvent[5].command[189],____TEXT____,
CommonEvent[5].command[190].textData,Ты вспоминаешь... Как твои предки отчаяно пытались ,
CommonEvent[5].command[191].textData,"наладить контакт хотя бы с мелкими демонами, чтобы",
CommonEvent[5].command[192].textData,получить больше знаний об иных мирах.,
CommonEvent[5].command[193],____TEXT____,
CommonEvent[5].command[194].textData,Ты вспоминаешь... Как из каждого поколения лишь старший,
CommonEvent[5].command[195].textData,ребенок удостаивался чести продолжить род...,
CommonEvent[5].command[196],____TEXT____,
