Ruta,Texto original,Traducción
Item[1].name,Старинная книга,
Item[1].description,"Старинная книга в причудливой обложке.
Ты чувствуешь сильное желание прочитать книгу.",
Item[2].name,Книга забытых воспоминаний,
Item[2].description,"Книга с красиво оформленной обложкой. От неё веет 
благородством.",
Item[3].name,Рецепты 15-го века.,
Item[3].description,В этой книге собраны рецепты различных мясных блюд.,
Item[4].name,Поэмы о любви и мучениях,
Item[4].description,"Великолепная коллекция любовных писем, написанных 
легендарным героем Роном Чамбарой.",
Item[5].name,Факел,
Item[5].description,"Деревянная палка, обмотанная ветошью, чтобы продлить 
горение. При использовании замедляются эффекты тьмы.",
Item[6].name,Фонарик,
Item[6].description,,
Item[7].name,Огниво,
Item[7].description,"Используйте, чтобы высечь искру. Свет обеспечивает 
тепло и безопасность, а также сдерживает страх.",
Item[8].name,Кусок ткани,
Item[8].description,"Тканью можно перевязать несерьезные ранения и 
остановить кровотечение.",
Item[9].name,Стеклянный флакон,
Item[9].description,Маленький флакон. Обычно используется в алхимии.,
Item[10].name,Мутный флакон,
Item[10].description,Флакон с мутной легковоспаменяющейся жидкостью внутри.,
Item[11].name,Черный флакон,
Item[11].description,Флакон с загадочной черной жидкостью.,
Item[12].name,Масло,
Item[12].description,Флакон с маслом. Воспламеняющаяся жидкость.,
Item[13].name,Алхемилия том 2,
Item[13].description,Книга для начинающих алхимиков.,
Item[14].name,Мясной пирог,
Item[14].description,"Старомодный мясной пирог. 
Довольно прост в приготовлении.",
Item[15].name,Яйцо,
Item[15].description,Яйцо птицы или ящерицы. Кто знает?,
Item[16].name,Вяленое мясо,
Item[16].description,"Высушенные во избежание порчи, полоски мяса.",
Item[17].name,Мука,
Item[17].description,Молотая пшеница для употребления в пищу людьми.,
Item[18].name,Приказы капитана,
Item[18].description,"Приказы написанные капитаном, ведающим подземельями
Страха и Голода.",
Item[19].name,Список заключенных ,
Item[19].description,"Список всех заключенных, запертых в темницах этого
подзмелья.",
Item[20].name,Маленький ключ,
Item[20].description,Ржавый изношенный ключ.,
Item[21].name,Гнилое мясо,
Item[21].description,"Отвратительный кусок сгнившего мяса. Пригодность
в пищу сомнительна. А пищевое отравление обеспечено.",
Item[22].name,Дневник капитана 1,
Item[22].description,Небольшой отрывок из дневника капитана.,
Item[23].name,Ма'Авре,
Item[23].description,Книга о древнем городе Ма'Хабре.,
Item[24].name,Учения Гро-Горота I,
Item[24].description,Книга о древнем боге Гро-Гороте.,
Item[25].name,"Братство, глава 1",
Item[25].description,"Эта книга повествует о легендарном братстве, которое 
в наши дни известно как новые боги.",
Item[26].name,Шишка,
Item[26].description,"Сосновая шишка. Когда-нибудь из него может вырасти 
дерево.",
Item[27].name,Палка,
Item[27].description,"Срезанная ветка дерева. Может оказаться полезной
в некоторых ситуациях.",
Item[28].name,Синий флакон,
Item[28].description,Флакон с синей жидкостью.,
Item[29].name,Лампа жреца,
Item[29].description,"Лампа жреца тьмы. Вы можете бросить её в в своих 
врагов чтобы поджечь их.",
Item[30].name,Бутылка виски,
Item[30].description,"Бутылка старого виски. Поможет сохранить рассудок в
вечно давящей тьме.",
Item[31].name,Заплесневелый хлеб,
Item[31].description,"Засохший хлеб, на котором уже образовалась плесень.
На мгновение облегчит голод.",
Item[32].name,Дневник капитана 1,
Item[32].description,"Дневник, написанный капитаном, ведающим 
подземельями Страха и Голода.",
Item[33].name,Желтый флакон,
Item[33].description,"Флакон со слизью желтого цвета. Запах очень соленый,
но может быть жидкость пригодна в пищу...",
Item[34].name,Флакон с кровью,
Item[34].description,"Флакон, наполненный кровью.",
Item[35].name,Заметки мучителя 1,
Item[35].description,Заметки написанные мучителем.,
Item[36].name,Учения Алл-Мера I,
Item[36].description,Книга о древнем боге Алл-Мере.,
Item[37].name,Сыр,
Item[37].description,Старый засохший сыр. Пахнет довольно неприятно.,
Item[38].name,Эль,
Item[38].description,"Бутылка эля. Эль внутри мутный. Помогает вам 
сохранить рассудок в вечно давящей тьме.",
Item[39].name,Учения Сильвиан I,
Item[39].description,Книга о древней богине Сильвиан.,
Item[40].name,Книга просветления,
Item[40].description,Эту книгу написали восточные монахи.,
Item[41].name,Овощной пирог,
Item[41].description,Старомодный пирог из морковки и капусты.,
Item[42].name,Морковь,
Item[42].description,Вполне съедобная морковь.,
Item[43].name,Капуста,
Item[43].description,"Капуста с несколькими гнилыми листья. В остальном она 
выглядит свежой и вкусной.",
Item[44].name,Нож для снятия шкур,
Item[44].description,"Маленький нож для снятия шкур с животных и других 
живых существ.",
Item[45].name,Кожа стража,
Item[45].description,Кожа снятая со стражника.,
Item[46].name,Кожа гуля,
Item[46].description,Кожа снятая с гуля.,
Item[47].name,Справочник убийцы I,
Item[47].description,"Справочник содержит инструкции, как изготавливать
маскировку из шкур разных животных.",
Item[48].name,Тюремный ключ Эт.3,
Item[48].description,Связка ключей.,
Item[49].name,Бутафорская книга,
Item[49].description,Пустая книга с деревянной обложкой.,
Item[50].name,Отмычка,
Item[50].description,"Отмычки легко ломаются. Чтобы взломать замок нужны 
навыки.",
Item[51].name,Ключ Эт.2,
Item[51].description,"Ключ, найденный у мучителя - Тротюра.",
Item[52].name,Белый флакон,
Item[52].description,Флакон с белой жидкостью. Действует как противоядие.,
Item[53].name,Фиолетовый флакон,
Item[53].description,"Флакон с фиолетовой жидкостью. Медленный, но крайне 
сильный яд.",
Item[54].name,Красный флакон,
Item[54].description,"Флакон с жидкостью красного цвета. Крайне едкое. 
С помощью него можно расплавить некоторые предметы.",
Item[55].name,Зародыш,
Item[55].description,"Живой и дышащий зародыш. Кажется, ему больно.",
Item[56].name,Сотворение жизни I,
Item[56].description,Книга с продвинутыми рецептами алхимии.,
Item[57].name,Молоко карликов,
Item[57].description,Флакон с желтым молоком для карликов.,
Item[58].name,Грязь,
Item[58].description,"Выглядит как фекалии, пахнет как фекалии... 
Зачем вообще кто-то решил носить это с собой?",
Item[59].name,Серебряная монета,
Item[59].description,"Одна из форм денег снаружи. Они могут иметь ценность
и в этих подземельях...",
Item[60].name,Яйцо карлика,
Item[60].description,Яйцо найденное в теле Пещерной матери.,
Item[61].name,Зеленый флакон,
Item[61].description,"Флакон с зеленой жидкостью. Её запах заставляет мышцы 
сокращаться, а чувства обостриться.",
Item[62].name,Яйца с беконом,
Item[62].description,"Отличный способ начать новый день - это когда живот
немного полон.",
Item[63].name,Тушеное рагу,
Item[63].description,"Тушеное мясо с прекрасным вкусом. Не каждый день
можно так хорошо поесть.",
Item[64].name,Помидор,
Item[64].description,"Цвет помидора немного бледный, это говорит о том что 
он давно не видел солнца.",
Item[65].name,Сушеный гриб,
Item[65].description,Сушеный гриб. Может храниться долгое время.,
Item[66].name,Светящийся гриб,
Item[66].description,"Гриб излучает бледный цвет. 
От него исходит странный запах.",
Item[67].name,Голубой флакон,
Item[67].description,Флакон с голубой жидкостью.,
Item[68].name,Салями,
Item[68].description,Сухой кусок салями. Приготовлен из конины.,
Item[69].name,Черника,
Item[69].description,Довольно свежая куча синих ягод. Они очень полезные!,
