Ruta,Texto original,Traducción
State[1].name,Без сознания,
State[1].note,"Статус #1 будет автоматически добавлен, как только
ОЗ достигнут 0.",
State[1].message1, пал!,
State[1].message2, сражён!,
State[1].message3,,
State[1].message4, оживает!,
State[2].name,В защите,
State[2].description,,
State[2].note,,
State[2].message1,,
State[2].message2,,
State[2].message3,,
State[2].message4,,
State[3].name,Без руки,
State[3].description,,
State[3].note,,
State[3].message1, теряет руку!,
State[3].message2,,
State[3].message3,,
State[3].message4,,
State[4].name,Анальное кровотечение,
State[4].note,,
State[4].message1, отравлен!,
State[4].message2, отравлен!,
State[4].message3,,
State[4].message4, больше не отравлен!,
State[5].name,Кровотечение,
State[5].note,,
State[5].message1,,
State[5].message2,,
State[5].message3,,
State[5].message4,,
State[6].name,Безмолвен,
State[6].note,,
State[6].message1, заткнули!,
State[6].message2, заткнули!,
State[6].message3,,
State[6].message4, может говорить!,
State[7].name,Ярость,
State[7].note,,
State[7].message1, в ярости!,
State[7].message2, в ярости!,
State[7].message3,,
State[7].message4, больше не в ярости!,
State[8].name,Смятение,
State[8].note,,
State[8].message1, в смятении!,
State[8].message2, в смятении!,
State[8].message3,,
State[8].message4, больше не в смятении!,
State[9].name,Взволнованность,
State[9].note,,
State[9].message1, взволнован!,
State[9].message2, взволнован!,
State[9].message3,,
State[9].message4,больше не взволнован!,
State[10].name,Сон,
State[10].note,,
State[10].message1, засыпает!,
State[10].message2, засыпает!,
State[10].message3, спит.,
State[10].message4, просыпается!,
State[11].name,Слепота,
State[11].note,,
State[11].message1, ослеплён,
State[11].message2, ослеплён,
State[11].message3,,
State[11].message4, теперь видит!,
State[12].name,Идеальная защита,
State[12].note,,
State[12].message1,,
State[12].message2, закрывается щитом!,
State[12].message3,,
State[12].message4,,
State[13].name,Нихуя не может сделать,
State[13].note,,
State[13].message1,,
State[13].message2,,
State[13].message3,,
State[13].message4,,
State[14].name,Без ноги,
State[14].description,,
State[14].note,,
State[14].message1, теряет ногу!,
State[14].message2,,
State[14].message3,,
State[14].message4,,
State[15].name,Ужас,
State[15].note,"<state damage modifier: defender>
  return b.hp - 1
</state damage modifier>",
State[15].message1,,
State[15].message2,,
State[15].message3,,
State[15].message4,,
State[16].name,В смятении,
State[16].note,,
State[16].message1,,
State[16].message2,,
State[16].message3,,
State[16].message4,,
State[17].name,Отравлен(а),
State[17].note,,
State[17].message1,,
State[17].message2,,
State[17].message3,,
State[17].message4,,
State[18].name,Бонус к скорости,
State[18].note,,
State[18].message1,,
State[18].message2,,
State[18].message3,,
State[18].message4,,
State[19].name,Перелом,
State[19].note,,
State[19].message1, отравлен!,
State[19].message2, отравлен!,
State[19].message3,,
State[19].message4, больше не отравлен!,
State[20].name,Бонус к атаке,
State[20].note,,
State[20].message1,,
State[20].message2,,
State[20].message3,,
State[20].message4,,
State[21].name,Бонус у уклонению,
State[21].note,,
State[21].message1,,
State[21].message2,,
State[21].message3,,
State[21].message4,,
State[22].name,Критическое состояние,
State[22].note,"<state damage modifier: defender>
  return b.hp - 1
</state damage modifier>
<state add animation: 22 />",
State[22].message1,,
State[22].message2,,
State[22].message3,,
State[22].message4,,
State[23].name,Уязвимый,
State[23].note,"<Custom Select Effect>
// Get the current skill
var skill = this.item();
// Check if the skill exists and can deal critical damage
if (skill && skill.damage.critical) {
  // Get the previous Critical Hit settings
  this._prevForcedCriticalHit = $gameSystem._forceCritical;
  this._prevForcedNoCriticalHit = $gameSystem._forceNoCritical;
  // Force the hit to be a critical hit
  BattleManager.actionForceCritical();
}
</Custom Select Effect>

<Custom Deselect Effect>
// Check if the previous settings exist
if (this._prevForcedCriticalHit !== undefined) {
  // Revert the Critical Hit settings to what they were before
  $gameSystem._forceCritical = this._prevForcedCriticalHit;
  $gameSystem._forceNoCritical = this._prevForcedNoCriticalHit;
}
</Custom Deselect Effect>",
State[23].message1,,
State[23].message2,,
State[23].message3,,
State[23].message4,,
State[24].name,Потерял стрелу,
State[24].note,,
State[24].message1,,
State[24].message2,,
State[24].message3,,
State[24].message4,,
State[25].name,Кровожадность,
State[25].note,,
State[25].message1, в ярости!,
State[25].message2, в ярости!,
State[25].message3,,
State[25].message4, больше не в ярости!,
State[26].name,Контратака,
State[26].note,,
State[26].message1,,
State[26].message2,,
State[26].message3,,
State[26].message4,,
State[27].name,salmonsnake_blind,
State[27].note,,
State[27].message1,,
State[27].message2,,
State[27].message3,,
State[27].message4,,
State[28].name,Confused_enemy,
State[28].note,,
State[28].message1,,
State[28].message2,,
State[28].message3,,
State[28].message4,,
State[29].name,Bleeding_enemy,
State[29].note,,
State[29].message1,,
State[29].message2,,
State[29].message3,,
State[29].message4,,
State[30].name,Без души,
State[30].note,,
State[30].message1,,
State[30].message2,,
State[30].message3,,
State[30].message4,,
State[31].name,Без головы,
State[31].note,,
State[31].message1,,
State[31].message2,,
State[31].message3,,
State[31].message4,,
State[32].name,Идеальная защита,
State[32].note,,
State[32].message1,,
State[32].message2,,
State[32].message3,,
State[32].message4,,
State[33].name,Счастье,
State[33].note,,
State[33].message1,,
State[33].message2,,
State[33].message3,,
State[33].message4,,
State[34].name,Подавленность,
State[34].note,,
State[34].message1,,
State[34].message2,,
State[34].message3,,
State[34].message4,,
State[35].name,Поговорить,
State[35].note,,
State[35].message1,,
State[35].message2,,
State[35].message3,,
State[35].message4,,
State[36].name,Ничего не может - на один ход,
State[36].note,,
State[36].message1,,
State[36].message2,,
State[36].message3,,
State[36].message4,,
State[37].name,Контратака,
State[37].note,,
State[37].message1,,
State[37].message2,,
State[37].message3,,
State[37].message4,,
State[38].name,,
State[38].note,,
State[38].message1,,
State[38].message2,,
State[38].message3,,
State[38].message4,,
State[39].name,Голод 1 ур.,
State[39].note,,
State[39].message1,,
State[39].message2,,
State[39].message3,,
State[39].message4,,
State[40].name,Голод 2 ур.,
State[40].note,,
State[40].message1,,
State[40].message2,,
State[40].message3,,
State[40].message4,,
State[41].name,Голод 3 ур.,
State[41].note,,
State[41].message1,,
State[41].message2,,
State[41].message3,,
State[41].message4,,
State[42].name,Голод 4 ур.,
State[42].note,,
State[42].message1,,
State[42].message2,,
State[42].message3,,
State[42].message4,,
State[43].name,Голод 5 ур.,
State[43].note,,
State[43].message1,,
State[43].message2,,
State[43].message3,,
State[43].message4,,
State[44].name,Страх 1 ур.,
State[44].note,,
State[44].message1,,
State[44].message2,,
State[44].message3,,
State[44].message4,,
State[45].name,Страх 2 ур.,
State[45].note,,
State[45].message1,,
State[45].message2,,
State[45].message3,,
State[45].message4,,
State[46].name,Страх 3 ур.,
State[46].note,,
State[46].message1,,
State[46].message2,,
State[46].message3,,
State[46].message4,,
State[47].name,Страх 4 ур.,
State[47].note,,
State[47].message1,,
State[47].message2,,
State[47].message3,,
State[47].message4,,
State[48].name,Страх 5 ур.,
State[48].note,,
State[48].message1,,
State[48].message2,,
State[48].message3,,
State[48].message4,,
State[49].name,Слепота,
State[49].note,,
State[49].message1,,
State[49].message2,,
State[49].message3,,
State[49].message4,,
State[50].name,,
State[50].note,,
State[50].message1,,
State[50].message2,,
State[50].message3,,
State[50].message4,,
State[51].name,Легкое насыщение,
State[51].note,,
State[51].message1,,
State[51].message2,,
State[51].message3,,
State[51].message4,,
State[52].name,Среднее насыщение,
State[52].note,,
State[52].message1,,
State[52].message2,,
State[52].message3,,
State[52].message4,,
State[53].name,Отличное насыщение,
State[53].note,,
State[53].message1,,
State[53].message2,,
State[53].message3,,
State[53].message4,,
State[54].name,,
State[54].note,,
State[54].message1,,
State[54].message2,,
State[54].message3,,
State[54].message4,,
State[55].name,Инфекция на ноге,
State[55].note,,
State[55].message1,,
State[55].message2,,
State[55].message3,,
State[55].message4,,
State[56].name,Инфекция на руке,
State[56].note,,
State[56].message1,,
State[56].message2,,
State[56].message3,,
State[56].message4,,
State[57].name,Бонус к ЗАЩИТЕ противника,
State[57].note,,
State[57].message1,,
State[57].message2,,
State[57].message3,,
State[57].message4,,
State[58].name,Бонус к АТАКЕ противника,
State[58].note,,
State[58].message1,,
State[58].message2,,
State[58].message3,,
State[58].message4,,
State[59].name,Оглушен!,
State[59].note,,
State[59].message1,,
State[59].message2,,
State[59].message3,,
State[59].message4,,
State[60].name,Ничего не может - НА ОДИН ХОД,
State[60].note,,
State[60].message1,,
State[60].message2,,
State[60].message3,,
State[60].message4,,
State[61].name,Паразиты,
State[61].note,,
State[61].message1,,
State[61].message2,,
State[61].message3,,
State[61].message4,,
State[62].name,Слабость,
State[62].note,,
State[62].message1,,
State[62].message2,,
State[62].message3,,
State[62].message4,,
State[63].name,Фобия,
State[63].note,,
State[63].message1,,
State[63].message2,,
State[63].message3,,
State[63].message4,,
State[64].name,Weakness2,
State[64].note,,
State[64].message1,,
State[64].message2,,
State[64].message3,,
State[64].message4,,
State[65].name,Зоофобия,
State[65].note,Боязнь животных,
State[65].message1,,
State[65].message2,,
State[65].message3,,
State[65].message4,,
State[66].name,Некрофобия,
State[66].note,Боязнь трупов,
State[66].message1,,
State[66].message2,,
State[66].message3,,
State[66].message4,,
State[67].name,Панафобия,
State[67].note,Страх всего,
State[67].message1,,
State[67].message2,,
State[67].message3,,
State[67].message4,,
State[68].name,Фасмофобия,
State[68].note,Боязнь призраков,
State[68].message1,,
State[68].message2,,
State[68].message3,,
State[68].message4,,
State[69].name,Рабдофобия,
State[69].note,Боязнь магии,
State[69].message1,,
State[69].message2,,
State[69].message3,,
State[69].message4,,
State[70].name,Тератофобия,
State[70].note,Боязнь уродов и чудищ,
State[70].message1,,
State[70].message2,,
State[70].message3,,
State[70].message4,,
State[71].name,Эротофобия,
State[71].note,Боязнь секса,
State[71].message1,,
State[71].message2,,
State[71].message3,,
State[71].message4,,
State[72].name,Ничего не может - на два хода,
State[72].note,,
State[72].message1,,
State[72].message2,,
State[72].message3,,
State[72].message4,,
State[73].name,Weakness_temp_invisible,
State[73].note,,
State[73].message1,,
State[73].message2,,
State[73].message3,,
State[73].message4,,
State[74].name,Weakness_temp,
State[74].note,,
State[74].message1,,
State[74].message2,,
State[74].message3,,
State[74].message4,,
State[75].name,Горит,
State[75].note,,
State[75].message1,,
State[75].message2,,
State[75].message3,,
State[75].message4,,
State[76].name,Проверка,
State[76].note,,
State[76].message1,,
State[76].message2,,
State[76].message3,,
State[76].message4,,
State[77].name,,
State[77].note,,
State[77].message1,,
State[77].message2,,
State[77].message3,,
State[77].message4,,
State[78].name,Backstab_attack,
State[78].note,,
State[78].message1,,
State[78].message2,,
State[78].message3,,
State[78].message4,,
State[79].name,arm_leg_cut- ONE TURN,
State[79].note,,
State[79].message1,,
State[79].message2,,
State[79].message3,,
State[79].message4,,
State[80].name,ПИЛА,
State[80].note,,
State[80].message1,,
State[80].message2,,
State[80].message3,,
State[80].message4,,
State[81].name,КИСЛОТА,
State[81].note,,
State[81].message1,,
State[81].message2,,
State[81].message3,,
